psi err 

59, ot 2, errPsi(0) 0.0482484, psiXyl -2996.46, psiXyl_old -2859.05 size 172, errRatio flux 0.068869, outputFlux -0.0202124, outputFlux_old -0.0188204, errFlux(5) 0.0741709, sum(errFlux(7)) 4.04001
60, ot 2, errPsi(0) 0.0482484, psiXyl -2996.43, psiXyl_old -2859.02 size 172, errRatio flux 0.0603558, outputFlux -0.000698258, outputFlux_old -0.000656114, errFlux(5) 0.0741709, sum(errFlux(7)) 4.10424
61, ot 2, errPsi(0) 0.0482484, psiXyl -2999.87, psiXyl_old -2862.21 size 172, errRatio flux 0.060356, outputFlux -0.000698029, outputFlux_old -0.000655899, errFlux(5) 0.0741709, sum(errFlux(7)) 4.16848
62, ot 2, errPsi(0) 0.0482484, psiXyl -2998.25, psiXyl_old -2860.64 size 172, errRatio flux 0.060368, outputFlux -0.000697669, outputFlux_old -0.000655552, errFlux(5) 0.0741709, sum(errFlux(7)) 4.23272
63, ot 2, errPsi(0) 0.0482484, psiXyl -2996.69, psiXyl_old -2859.12 size 172, errRatio flux 0.0600058, outputFlux -0.000701659, outputFlux_old -0.000659556, errFlux(5) 0.0741709, sum(errFlux(7)) 4.29656
64, ot 2, errPsi(0) 0.0482484, psiXyl -2995.09, psiXyl_old -2857.56 size 172, errRatio flux 0.0600282, outputFlux -0.00070118, outputFlux_old -0.000659089, errFlux(5) 0.0741709, sum(errFlux(7)) 4.36042
65, ot 2, errPsi(0) 0.0482484, psiXyl -2993.55, psiXyl_old -2856.07 size 172, errRatio flux 0.0600501, outputFlux -0.000700711, outputFlux_old -0.000658633, errFlux(5) 0.0741709, sum(errFlux(7)) 4.42431
66, ot 2, errPsi(0) 0.0482484, psiXyl -2992.03, psiXyl_old -2854.58 size 172, errRatio flux 0.060072, outputFlux -0.000700244, outputFlux_old -0.000658179, errFlux(5) 0.0741709, sum(errFlux(7)) 4.48822
67, ot 2, errPsi(0) 0.0482484, psiXyl -2990.5, psiXyl_old -2853.1 size 172, errRatio flux 0.060094, outputFlux -0.00069978, outputFlux_old -0.000657728, errFlux(5) 0.0741709, sum(errFlux(7)) 4.55215
68, ot 2, errPsi(0) 0.0482484, psiXyl -2988.99, psiXyl_old -2851.63 size 172, errRatio flux 0.0719586, outputFlux -0.0389505, outputFlux_old -0.0361477, errFlux(5) 0.0775381, sum(errFlux(7)) 4.62969
69, ot 2, errPsi(0) 0.0482484, psiXyl -2987.81, psiXyl_old -2850.46 size 172, errRatio flux 0.0602142, outputFlux -0.000712818, outputFlux_old -0.000669897, errFlux(5) 0.0775381, sum(errFlux(7)) 4.69376
70, ot 2, errPsi(0) 0.0482484, psiXyl -3044.09, psiXyl_old -2904.05 size 172, errRatio flux 0.0604744, outputFlux -0.000350852, outputFlux_old -0.000329635, errFlux(5) 0.0775381, sum(errFlux(7)) 4.75813
71, ot 2, errPsi(0) 0.0482484, psiXyl -3034.43, psiXyl_old -2895 size 172, errRatio flux 0.060409, outputFlux -0.000349716, outputFlux_old -0.00032859, errFlux(5) 0.0775381, sum(errFlux(7)) 4.82242
72, ot 2, errPsi(0) 0.0482484, psiXyl -3024.79, psiXyl_old -2885.96 size 172, errRatio flux 0.068952, outputFlux -0.0203529, outputFlux_old -0.0189495, errFlux(5) 0.0775381, sum(errFlux(7)) 4.89648
73, ot 2, errPsi(0) 0.0482484, psiXyl -3019.54, psiXyl_old -2881.01 size 172, errRatio flux 0.0604715, outputFlux -0.000350869, outputFlux_old -0.000329651, errFlux(5) 0.0775381, sum(errFlux(7)) 4.96085
74, ot 2, errPsi(0) 0.0482484, psiXyl -3033.91, psiXyl_old -2894.48 size 172, errRatio flux 0.0604463, outputFlux -0.0003495, outputFlux_old -0.000328374, errFlux(5) 0.0775381, sum(errFlux(7)) 5.02518
