% Model:              rhizosphere_equilibrium.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 27 2020, 10:14
% Dimension:          1
% Nodes:              1981
% Expressions:        15
% Description:        Abhängige Variable c
% R                       c (g/cm^3) @ t=0         c (g/cm^3) @ t=86400     c (g/cm^3) @ t=1.728E5   c (g/cm^3) @ t=2.592E5   c (g/cm^3) @ t=3.456E5   c (g/cm^3) @ t=4.32E5    c (g/cm^3) @ t=5.184E5   c (g/cm^3) @ t=6.048E5   c (g/cm^3) @ t=6.912E5   c (g/cm^3) @ t=7.776E5   c (g/cm^3) @ t=8.64E5    c (g/cm^3) @ t=9.504E5   c (g/cm^3) @ t=1.0368E6  c (g/cm^3) @ t=1.1232E6  c (g/cm^3) @ t=1.2096E6
1.4870000000000572        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999983E-4     0.0010000000000000102    0.0010000000000001906    0.0010000000000017061    0.0010000000000087341    0.0010000000000338308    0.0010000000001055428    0.0010000000002800076    0.0010000000006539231    0.0010000000013744934
1.4880000000000573        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999985E-4     0.0010000000000000113    0.001000000000000203     0.0010000000000018009    0.001000000000009182     0.0010000000000354357    0.0010000000001102048    0.001000000000291573     0.0010000000006792076    0.0010000000014243626
1.4890000000000574        0.001                    9.999999999999976E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999983E-4     0.0010000000000000126    0.0010000000000002147    0.001000000000001901     0.0010000000000096518    0.0010000000000371136    0.0010000000001150683    0.0010000000003036013    0.0010000000007054325    0.0010000000014759682
1.4900000000000575        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999974E-4     9.99999999999998E-4      0.0010000000000000137    0.0010000000000002294    0.0010000000000020067    0.0010000000000101458    0.0010000000000388708    0.0010000000001201411    0.0010000000003161087    0.0010000000007326347    0.001000000001529368
1.4910000000000578        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.99999999999998E-4      0.001000000000000015     0.001000000000000243     0.0010000000000021181    0.0010000000000106642    0.0010000000000407083    0.0010000000001254305    0.0010000000003291157    0.0010000000007608463    0.001000000001584622
1.492000000000058         0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999983E-4     0.001000000000000016     0.0010000000000002585    0.0010000000000022356    0.0010000000000112083    0.0010000000000426309    0.001000000000130946     0.0010000000003426398    0.0010000000007901052    0.0010000000016417902
1.493000000000058         0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999985E-4     0.0010000000000000174    0.001000000000000274     0.0010000000000023597    0.0010000000000117797    0.001000000000044642     0.0010000000001366988    0.0010000000003567012    0.0010000000008204472    0.0010000000017009376
1.4940000000000582        0.001                    9.999999999999974E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999987E-4     0.0010000000000000187    0.0010000000000002912    0.0010000000000024896    0.00100000000001238      0.0010000000000467463    0.001000000000142695     0.0010000000003713215    0.001000000000851912     0.0010000000017621274
1.4950000000000583        0.001                    9.999999999999976E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999985E-4     0.0010000000000000206    0.0010000000000003097    0.001000000000002628     0.0010000000000130102    0.0010000000000489461    0.0010000000001489481    0.0010000000003865205    0.001000000000884537     0.0010000000018254276
1.4960000000000584        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999985E-4     0.0010000000000000217    0.0010000000000003292    0.001000000000002773     0.0010000000000136718    0.0010000000000512485    0.0010000000001554672    0.0010000000004023208    0.0010000000009183665    0.0010000000018909072
