,day,vol_P0,vol_P1,vol_P2,vol_P3
1587,20.0,3.826452541006087,4.068532552372846,5.135640133683821,7.323313655132445
1588,21.0,4.030415575664222,4.296608220442868,5.410482216869331,7.691524003035337
1589,22.0,4.242795354312584,4.556357765510788,5.66976159597446,8.067798412002649
1590,23.0,4.440782456299883,4.774991607191719,5.914205297286572,8.395005191664048
1591,24.0,4.655073764695969,4.983472304160593,6.150485842085939,8.7324759951198
1592,25.0,4.911607224167636,5.1841787377344435,6.423207686198394,9.086172945936934
1593,26.0,5.082632683057582,5.382253215804123,6.643708570333887,9.44643137972297
1594,27.0,5.257734552087761,5.580929870468684,6.878630144292366,9.798124569378157
1595,28.0,5.430234294969257,5.768550273320809,7.088415744332883,10.109107619882304
1596,1.0,0.0628332388955834,0.09411342416843024,0.09035901041474095,0.1461182338018377
1597,2.0,0.12641360512061703,0.1942954072583244,0.18845280936668857,0.3091899257924499
1598,3.0,0.20436414049242224,0.32308374284065927,0.3053194681686904,0.48011463274814625
1599,4.0,0.30464931552012753,0.44572324974377836,0.45151637305047515,0.6722974678192212
1600,5.0,0.4490394774405045,0.6388970238910612,0.6689309926937209,0.9580450415484452
1601,6.0,0.6272409548085478,0.8427995795553421,0.9175956570807904,1.3826667375384007
1602,7.0,0.885340312530693,1.0806518252454964,1.2459743839797797,1.9182783719281233
1603,8.0,1.14934492591978,1.3583839097022037,1.6167929460094856,2.5647402302334554
1604,9.0,1.4307421420568414,1.6352366126214348,2.0042213615198947,3.1928677467568285
1605,10.0,1.726746456515002,1.9369525269867423,2.3833127913871417,3.8279129513431793
1606,11.0,1.9823573012071813,2.2471354824132623,2.730231939241019,4.398011803735868
1607,12.0,2.2789120402697876,2.524643347917531,3.0941220716930156,4.962794510251169
1608,13.0,2.5364256777349343,2.8007267242303264,3.4789665095206272,5.511715718616285
1609,14.0,2.7793775279399697,3.100183505076729,3.8107035832633933,6.053012394381236
1610,15.0,3.058410063802988,3.3905603200263696,4.18385361932004,6.538108493681424
1611,16.0,3.275591798036898,3.69181149531685,4.49862022757592,7.042355027374117
1612,17.0,3.5090173631526964,3.980715537564782,4.817096844121626,7.494363982304829
1613,18.0,3.7368600600964896,4.246135798624254,5.104535433323919,7.961150239638011
1614,19.0,3.966935241366195,4.52695128517377,5.381429923702781,8.418378007386842
1615,20.0,4.188087061654104,4.766755752540032,5.677412759911631,8.884291377390706
1616,21.0,4.425379691877163,4.990107614124557,5.939245866301515,9.358266425714955
1617,22.0,4.626434099638626,5.23595837081224,6.243638499233411,9.78278993295836
1618,23.0,4.809058320052296,5.477824858381135,6.538188785220943,10.201241187047836
1619,24.0,4.999667218350851,5.7525504427443455,6.838970153310305,10.56448596840887
1620,25.0,5.1886813852132345,5.995170125281593,7.149671811079332,10.928480871310331
1621,26.0,5.381886842237773,6.206742932077524,7.432403317528799,11.272231181097178
1622,27.0,5.552307431754784,6.429583667588067,7.706791832087525,11.595400267459354
1623,28.0,5.701964155800778,6.658549654458932,7.937768196835336,11.931885276584843
1624,1.0,0.06434622684721197,0.05062601270489722,0.05891176082468776,0.13598071616316987
1625,2.0,0.13530788622705991,0.10147208381549275,0.11392190211848509,0.2775649031937095
1626,3.0,0.2249325372249151,0.15648370204250286,0.18653185973394862,0.4205211007590092
1627,4.0,0.3486794108730209,0.2390750249714636,0.2723786669422586,0.6107066973687563
1628,5.0,0.4784456689080389,0.38899964751230803,0.42465248251416227,0.8840716288842804
1629,6.0,0.6629081950784614,0.596751969075348,0.6179006283593711,1.2357884594682798
1630,7.0,0.8770004358026755,0.8348206768591103,0.8696873142706771,1.6734961464979856
1631,8.0,1.1419975581125241,1.1052728433081116,1.186582394645496,2.1378645282451783
1632,9.0,1.4291888511816615,1.4070903141242657,1.5310836710729683,2.642645841586799
1633,10.0,1.6909106462548489,1.6959829561468065,1.8578398592499075,3.092012700380205
1634,11.0,1.9552510086911088,1.9836117216982136,2.191021058224704,3.603327046811853
1635,12.0,2.2268360121017134,2.25757991211805,2.534075242615261,4.128482278106276
1636,13.0,2.5029474826357454,2.522801610637288,2.8941778491469807,4.630957853751542
1637,14.0,2.7753007869938635,2.8207125053580624,3.2216323933628908,5.119359738869402
1638,15.0,3.045415733985965,3.1339664527793247,3.5532775134934598,5.587824538362714
1639,16.0,3.31751736427205,3.3991397299455217,3.8425922968477204,6.042774704956029
1640,17.0,3.569198352532574,3.6471468663587805,4.163695520273748,6.501616185707388
1641,18.0,3.821954851159613,3.9073320587353044,4.483872057601815,6.928054345810236
1642,19.0,4.071956197675769,4.144228373804291,4.782328374038941,7.302418473929379
1643,20.0,4.326896963152318,4.386754741024267,5.076197386036185,7.675611973177248
1644,21.0,4.604762114265615,4.6332553568284744,5.337119782935739,8.088775798638252
1645,22.0,4.850279867920181,4.866725940583418,5.5966067973880875,8.461342233679861
1646,23.0,5.057265344936255,5.078270323729384,5.851644279704329,8.797076764263636
1647,24.0,5.2847579055015235,5.297164474318242,6.092303216512594,9.13165708011758
1648,25.0,5.502035004101994,5.490009554797219,6.354279536752097,9.480891850134594
1649,26.0,5.7394717380069,5.694129914764794,6.604822326076851,9.816679066131044
1650,27.0,5.950349462663592,5.905843986905204,6.844772171680815,10.127598914201752
1651,28.0,6.132937871280527,6.120354817190353,7.058401381491498,10.441834203411473
1652,1.0,0.05163331045768589,0.029162026347594325,0.08454263282596093,0.10783267696014871
1653,2.0,0.11980070141047876,0.06293192024131697,0.18156911400016462,0.21401664685570032
1654,3.0,0.1856852980686316,0.10951784384099601,0.2900290899857247,0.3362806214579505
