R,Height1,Height2,Height3
0.03199999999999997,-100.00000000058313,-120.80453847825801,-142.83647772713317
0.03233333333333331,-100.00000000047,-120.7792894387384,-142.79240200659154
0.032666666666666636,-100.0000000003769,-120.75421951006015,-142.74865377135342
0.032999999999999974,-100.00000000030388,-120.7293286922233,-142.7052330214187
0.03333333333333331,-100.0000000002449,-120.70461343039544,-142.66213306325008
0.033666666666666636,-100.00000000019634,-120.68007030623649,-142.61934746557043
0.033999999999999975,-100.00000000015827,-120.65569931974647,-142.57687622837972
0.034333333333333306,-100.00000000012751,-120.63149711873766,-142.53471304768465
0.03466666666666663,-100.00000000010222,-120.60746047738688,-142.49285186196857
0.03499999999999996,-100.00000000008238,-120.58358939569418,-142.4512926712316
0.0353333333333333,-100.00000000006635,-120.55988070912409,-142.41002953172412
0.035666666666666624,-100.00000000005318,-120.53633137029584,-142.3690567242077
0.03599999999999996,-100.00000000004285,-120.51294137920945,-142.32837424868248
0.0363333333333333,-100.0000000000345,-120.48970774534413,-142.28797649502724
0.03666666666666663,-100.00000000002765,-120.46662758694355,-142.24785806128753
0.036999999999999963,-100.00000000002228,-120.4437009040077,-142.20801894746342
0.0373333333333333,-100.00000000001795,-120.42092486760336,-142.1684538528417
0.037666666666666626,-100.00000000001438,-120.39829674990564,-142.12915766998123
0.037999999999999964,-100.00000000001158,-120.37581655091458,-142.090130398882
0.038333333333333296,-100.00000000000934,-120.35348159194187,-142.05136702616198
0.03866666666666663,-100.00000000000746,-120.3312892884101,-142.01286271811514
0.03899999999999995,-100.00000000000603,-120.30923964031936,-141.97461747474156
0.03933333333333329,-100.00000000000485,-120.28733010885661,-141.9366265498327
0.039666666666666614,-100.00000000000387,-120.26555824291448,-141.89888536442626
0.03999999999999995,-100.00000000000313,-120.24392404249302,-141.86139391852234
0.040333333333333284,-100.0000000000025,-120.22242509916012,-141.8241477146531
0.040666666666666615,-100.00000000000199,-120.20105908631707,-141.7871424112168
0.04099999999999994,-100.00000000000162,-120.17982600396388,-141.75037800821352
0.04133333333333328,-100.00000000000132,-120.15872356534288,-141.71385024003408
0.0416666666666666,-100.00000000000105,-120.13774956013874,-141.67755498650004
0.04199999999999994,-100.00000000000084,-120.11690398835148,-141.6414922476114
0.04233333333333327,-100.00000000000067,-120.0961846769027,-141.60565797413443
0.0426666666666666,-100.00000000000051,-120.07558952419973,-141.57004825268257
0.04299999999999993,-100.00000000000041,-120.05511853024268,-141.53466308325585
0.043333333333333265,-100.00000000000036,-120.03476962828022,-141.4994986187744
0.04366666666666659,-100.00000000000027,-120.01454081848344,-141.46455113919257
0.04399999999999993,-100.00000000000021,-119.99443210085238,-141.42982064451044
0.044333333333333266,-100.00000000000018,-119.97444150819254,-141.3953034767205
0.04466666666666659,-100.00000000000016,-119.95456713602513,-141.36099609673607
0.044999999999999915,-100.0000000000001,-119.93480898435021,-141.32689850455722
0.04533333333333325,-100.00000000000007,-119.91516517928747,-141.2930072192015
0.04566666666666658,-100.00000000000004,-119.89563390578945,-141.25931887112688
0.045999999999999916,-100.00000000000006,-119.8762151638562,-141.2258334603334
0.04633333333333324,-100.00000000000003,-119.85690716715845,-141.19254767175457
0.04666666666666658,-100.00000000000001,-119.83770818461142,-141.1594582948576
0.0469999999999999,-100.00000000000004,-119.81861821621509,-141.12656532964257
0.04733333333333324,-100.00000000000003,-119.79963555786398,-141.0938656167012
0.047666666666666566,-100,-119.78075855737681,-141.06135609477533
0.047999999999999904,-100.00000000000001,-119.76198721475363,-141.02903676386492
0.04833333333333324,-100.00000000000001,-119.74331990318255,-140.9969046107368
0.048666666666666566,-100,-119.7247550447002,-140.96495671440113
0.04899999999999989,-100,-119.70629263930664,-140.93319307485794
0.04933333333333323,-100,-119.68793113291582,-140.90161081627195
0.049666666666666553,-100,-119.66966901743766,-140.87020714957922
