line,Date,ET (kg/m2)
206,2020-07-24,7.69702339832706
207,2020-07-25,7.80581123105986
208,2020-07-26,7.36728680481369
209,2020-07-27,8.11938695066524
210,2020-07-28,8.3077720146485
211,2020-07-29,7.11055742130335
212,2020-07-30,7.23040874914942
213,2020-07-31,7.16197536012522
214,2020-08-01,6.80320823627033
215,2020-08-02,7.30705444527784
216,2020-08-03,6.28688527578515
217,2020-08-04,6.82087791348338
218,2020-08-05,6.31963403648955
219,2020-08-06,6.67988877011458
220,2020-08-07,7.50016005532735
221,2020-08-08,7.54544839532313
222,2020-08-09,6.67549256958697
223,2020-08-10,5.85114679287891
224,2020-08-11,7.21441931314441
225,2020-08-12,6.73291136224485
226,2020-08-13,7.38698097811496
227,2020-08-14,7.70646545560297
228,2020-08-15,7.36255692236625
229,2020-08-16,8.05811465446873
230,2020-08-17,7.75715975789217
231,2020-08-18,7.23205394230501
232,2020-08-19,7.49814031353497
233,2020-08-20,8.07755721692789
234,2020-08-21,7.89465021079205
235,2020-08-22,7.57217398294554
236,2020-08-23,7.40433673191349
237,2020-08-24,7.67697967193565
238,2020-08-25,8.33425597772654
239,2020-08-26,9.42232558556965
240,2020-08-27,8.18544161858433
241,2020-08-28,7.25505562374265
242,2020-08-29,7.53860925446446
243,2020-08-30,6.84826471680455
244,2020-08-31,6.54046042580646
245,2020-09-01,5.10677238438637
246,2020-09-02,7.6312708441092
247,2020-09-03,8.7595102078018
248,2020-09-04,7.89825093294372
249,2020-09-05,7.57185429317263
250,2020-09-06,7.21905946314509
251,2020-09-07,5.37324431477761
252,2020-09-08,2.75858090483412
253,2020-09-09,1.81732573019172
254,2020-09-10,2.30264868976076
255,2020-09-11,1.82288680827305
256,2020-09-12,2.66979774391501
257,2020-09-13,4.65741844062555
258,2020-09-14,4.84487725485866
259,2020-09-15,5.68238054489603
260,2020-09-16,5.28234124496449
261,2020-09-17,4.87476035040252
262,2020-09-18,4.77134890563286
263,2020-09-19,5.07574008366109
264,2020-09-20,5.95062769988535
265,2020-09-21,6.1433518197029
266,2020-09-22,5.30192529373197
267,2020-09-23,5.05979299858082
268,2020-09-24,4.275526826479
269,2020-09-25,5.15780561606321
270,2020-09-26,5.09043389211243
271,2020-09-27,5.14699140304032
272,2020-09-28,3.52431719548153
273,2020-09-29,4.1388978106635
274,2020-09-30,5.19081129676747
275,2020-10-01,3.7384770403103
276,2020-10-02,3.29675998719024
277,2020-10-03,2.20384220166387
278,2020-10-04,3.84620831103089
279,2020-10-05,5.36873170446724
280,2020-10-06,5.69708629182754
281,2020-10-07,5.74295794512023
282,2020-10-08,4.91901676022277
283,2020-10-09,5.77868550251246
284,2020-10-10,4.73498337470408
285,2020-10-11,4.51142405699015
286,2020-10-12,4.55579672019614
287,2020-10-13,5.38684598801782
288,2020-10-14,4.9466137766143
289,2020-10-15,5.52513279511699
290,2020-10-16,4.10734195907331
291,2020-10-17,4.83195957663108
292,2020-10-18,3.49588243259285
293,2020-10-19,2.0006741231454
294,2020-10-20,2.20525604860081
295,2020-10-21,1.75624504350886
296,2020-10-22,1.45173250691138
297,2020-10-23,1.64101129818067
298,2020-10-24,1.91107222841884
299,2020-10-25,1.80284475050758
300,2020-10-26,1.70115575242147
301,2020-10-27,1.68530962010167
302,2020-10-28,1.57916705718715
303,2020-10-29,1.05582288651756
304,2020-10-30,1.46005604993932
305,2020-10-31,2.4187657434124
306,2020-11-01,4.15442900998252
307,2020-11-02,2.78925473714361
308,2020-11-03,2.67248534878211
309,2020-11-04,2.35668397010589
310,2020-11-05,2.27528636839577
311,2020-11-06,2.74144117973891
312,2020-11-07,2.66330541453104
313,2020-11-08,2.92243634620491
314,2020-11-09,2.5707423408942
315,2020-11-10,1.7879975959007
316,2020-11-11,1.89370203986981
317,2020-11-12,1.06016452800474
318,2020-11-13,1.70570697090195
319,2020-11-14,1.45686654722469
320,2020-11-15,1.90362332272547
321,2020-11-16,1.85237536716218
322,2020-11-17,1.37457215783808
323,2020-11-18,2.27769679261871
324,2020-11-19,1.8683764576491
325,2020-11-20,1.43994365894282
326,2020-11-21,1.27004154532626
327,2020-11-22,1.1821773307121
328,2020-11-23,1.03965779915235
329,2020-11-24,0.68059030558616
330,2020-11-25,0.372003571035133
331,2020-11-26,0.939426531075736
332,2020-11-27,1.18053141310159
333,2020-11-28,1.38798236077972
334,2020-11-29,1.42752376077126
335,2020-11-30,2.35300983892585
336,2020-12-01,1.16719606429686
337,2020-12-02,1.1218332354164
338,2020-12-03,1.19808542372186
339,2020-12-04,1.06058972244186
340,2020-12-05,0.640002770126735
341,2020-12-06,0.630504081280951
342,2020-12-07,0.600624731456747
343,2020-12-08,0.879938312852348
344,2020-12-09,1.00237397942964
345,2020-12-10,0.870173469511656
346,2020-12-11,0.738152113372498
347,2020-12-12,1.38721574312918
348,2020-12-13,1.12907951961627
349,2020-12-14,1.70816581641967
350,2020-12-15,1.05999460577443
351,2020-12-16,0.66201348569103
352,2020-12-17,0.397663046570587
353,2020-12-18,0.404258964474669
354,2020-12-19,0.40935546636538
355,2020-12-20,0.367657434617498
356,2020-12-21,0.738468878318721
357,2020-12-22,1.01559322103641
358,2020-12-23,0.496348250912079
359,2020-12-24,2.15232886187189
360,2020-12-25,1.21029169097239
361,2020-12-26,0.531094023279042
362,2020-12-27,0.420214140630238
363,2020-12-28,0.791015159273547
364,2020-12-29,0.636717347194693
365,2020-12-30,0.490740476158579
366,2020-12-31,0.127510616742116
367,2021-01-01,0.111824927011826
368,2021-01-02,0.00299300329640332
369,2021-01-03,-0.0134322159885257
370,2021-01-04,-0.0629960643077074
371,2021-01-05,-0.06521639940308
372,2021-01-06,0.160743148931974
373,2021-01-07,0.0233669825898189
374,2021-01-08,0.0388309036555073
375,2021-01-09,0.0116843294231105
376,2021-01-10,0.0629932945470203
377,2021-01-11,-0.00326982537086245
378,2021-01-12,-0.0299334300082011
379,2021-01-13,-0.0288859574002371
380,2021-01-14,0.0930209184400961
381,2021-01-15,0.485049343532503
382,2021-01-16,0.493830394124715
383,2021-01-17,0.478500802015598
384,2021-01-18,0.276985932890483
385,2021-01-19,0.358717784361572
386,2021-01-20,0.356039650439564
387,2021-01-21,0.35139424257405
388,2021-01-22,0.342812462633818
389,2021-01-23,0.312826603249193
390,2021-01-24,0.440419388239872
391,2021-01-25,0.290863410795091
392,2021-01-26,0.59919446120283
393,2021-01-27,0.299844242143648
394,2021-01-28,0.301847521766868
395,2021-01-29,0.285395845234579
396,2021-01-30,0.440251749196245
397,2021-01-31,0.649896209728266
398,2021-02-01,0.165904008726937
399,2021-02-02,0.0401252915746105
400,2021-02-03,0.179264504321469
401,2021-02-04,0.518082143331582
402,2021-02-05,0.761438484518156
403,2021-02-06,0.45058243475181
404,2021-02-07,0.256841399112266
405,2021-02-08,0.443461369777386
406,2021-02-09,0.34315969319281
407,2021-02-10,0.307362245097105
408,2021-02-11,0.332382945229813
409,2021-02-12,0.488581122314617
410,2021-02-13,0.440562682177426
411,2021-02-14,0.377749343676922
412,2021-02-15,0.404355393668349
413,2021-02-16,0.279144970705575
414,2021-02-17,0.312313896965007
415,2021-02-18,0.382841059226684
416,2021-02-19,0.474492128102147
417,2021-02-20,0.361909037903844
418,2021-02-21,0.397014066435766
419,2021-02-22,0.394053279272886
420,2021-02-23,0.102633382006516
421,2021-02-24,0.0794798827757441
422,2021-02-25,0.096695407927668
423,2021-02-26,0.117857580109536
424,2021-02-27,0.0355123179586255
425,2021-02-28,0.201352040504079
426,2021-03-01,0.494831122012684
427,2021-03-02,0.484054956807817
428,2021-03-03,-0.0459411078667546
429,2021-03-04,0.171201020567002
430,2021-03-05,0.279490014043489
431,2021-03-06,0.351720626860193
432,2021-03-07,0.669571792799324
433,2021-03-08,0.557948979775131
434,2021-03-09,1.444017565477
435,2021-03-10,0.719531608877314
436,2021-03-11,3.60275928211282
437,2021-03-12,2.91836479836233
438,2021-03-13,3.14161953755787
439,2021-03-14,3.56236917084577
440,2021-03-15,2.8070007986647
441,2021-03-16,1.5111758748922
442,2021-03-17,1.45369540878542
443,2021-03-18,3.03352412372914
444,2021-03-19,2.10972580344093
445,2021-03-20,2.99331967745508
446,2021-03-21,4.03921012988765
447,2021-03-22,3.60637894003454
448,2021-03-23,1.60123534913313
449,2021-03-24,1.91234110699798
450,2021-03-25,2.28362750216406
451,2021-03-26,2.96677191281805
452,2021-03-27,2.416691254075
453,2021-03-28,4.36574191037489
454,2021-03-29,5.74076005912036
455,2021-03-30,5.73005867404076
456,2021-03-31,4.94770743617511
457,2021-04-01,4.25767172008492
458,2021-04-02,5.55221997283986
459,2021-04-03,5.32041479303955
460,2021-04-04,5.24269125230458
461,2021-04-05,5.65028607793174
462,2021-04-06,5.64418236142345
463,2021-04-07,4.69301647034748
464,2021-04-08,3.48296275439485
465,2021-04-09,2.42135743879368
466,2021-04-10,3.76461720179886
467,2021-04-11,4.11412208533843
468,2021-04-12,4.91928315857757
469,2021-04-13,4.90488003189988
470,2021-04-14,3.88233863090982
471,2021-04-15,4.27838025235574
472,2021-04-16,4.50708855484387
473,2021-04-17,4.92527259126001
474,2021-04-18,6.05487616451419
475,2021-04-19,4.61072339347778
476,2021-04-20,4.86160043742149
477,2021-04-21,4.30237121189301
478,2021-04-22,6.29090204113774
479,2021-04-23,3.28093593330842
480,2021-04-24,4.11902259685555
481,2021-04-25,4.13022529192638
482,2021-04-26,6.32207828621128
483,2021-04-27,4.77704540564089
484,2021-04-28,4.80068608536317
485,2021-04-29,6.52181486815822
486,2021-04-30,6.85403236442683
487,2021-05-01,8.80515247357483
488,2021-05-02,7.53881384610435
489,2021-05-03,5.36178870138552
490,2021-05-04,6.75250838136534
491,2021-05-05,5.63220823853774
492,2021-05-06,6.06331677061476
493,2021-05-07,6.65683214866038
494,2021-05-08,5.04383868065937
495,2021-05-09,5.59861299595402
496,2021-05-10,5.43065539462921
497,2021-05-11,6.36289154736016
498,2021-05-12,6.6687282761749
499,2021-05-13,7.30318622356253
500,2021-05-14,5.88312791127158
501,2021-05-15,5.26942777087363
502,2021-05-16,6.10991909882765
503,2021-05-17,5.75703790027963
504,2021-05-18,4.53018659370634
505,2021-05-19,5.92201889894968
506,2021-05-20,5.68699596035932
507,2021-05-21,6.87253594468008
508,2021-05-22,7.72619198049818
509,2021-05-23,6.16235940275665
510,2021-05-24,7.63583244005376
511,2021-05-25,9.01186261267426
512,2021-05-26,8.4611455580931
513,2021-05-27,3.80517849960411
514,2021-05-28,4.21402011668369
515,2021-05-29,6.43713957505741
516,2021-05-30,5.36327252756402
517,2021-05-31,6.68152186769786
518,2021-06-01,7.3845642127379
519,2021-06-02,7.83090247948038
520,2021-06-03,9.09486691006419
521,2021-06-04,9.91121137072672
522,2021-06-05,9.51959747440961
523,2021-06-06,9.52017802608257
524,2021-06-07,8.89466399771132
525,2021-06-08,8.51102850631792
526,2021-06-09,8.76905153687424
527,2021-06-10,8.88662836190215
528,2021-06-11,8.24108257620397
529,2021-06-12,9.65304489073183
530,2021-06-13,9.78751327692594
531,2021-06-14,9.48849286004336
532,2021-06-15,8.76014322720186
533,2021-06-16,9.22014257268377
534,2021-06-17,9.02387813576456
535,2021-06-18,8.86177901519631
536,2021-06-19,9.33483833578516
537,2021-06-20,6.69835292076578
538,2021-06-21,8.62819547173581
539,2021-06-22,8.75187761616776
540,2021-06-23,8.59058447551449
541,2021-06-24,8.17386676219045
542,2021-06-25,7.80609395709052
543,2021-06-26,5.55013790109762
544,2021-06-27,7.07354219870387
545,2021-06-28,6.69265706841522
546,2021-06-29,6.51974854125226
547,2021-06-30,7.71222770283591
548,2021-07-01,8.69646566602301
549,2021-07-02,8.04981500970379
550,2021-07-03,9.13061619048216
551,2021-07-04,9.82745436572472
552,2021-07-05,9.94934897659124
553,2021-07-06,8.74485357475003
554,2021-07-07,5.89181618509765
555,2021-07-08,6.54100976080658
556,2021-07-09,6.94324103493037
557,2021-07-10,6.20670838588876
558,2021-07-11,7.57808366131157
559,2021-07-12,7.21936872627575
560,2021-07-13,8.21377652761888
561,2021-07-14,6.05900458935051
562,2021-07-15,7.33468761770788
563,2021-07-16,7.95625436271245
564,2021-07-17,7.97058163127121
565,2021-07-18,8.01320058263773
566,2021-07-19,8.21248141183102
567,2021-07-20,8.90098038845785
568,2021-07-21,8.14261931441616
569,2021-07-22,8.78823315575936
570,2021-07-23,10.1131421946228
571,2021-07-24,10.780240222942
572,2021-07-25,11.3663296000951
573,2021-07-26,11.47077171309
574,2021-07-27,10.8418817085705
575,2021-07-28,9.74892783616792
576,2021-07-29,10.4286084467051
577,2021-07-30,5.94014854750897
578,2021-07-31,7.96387099072815
579,2021-08-01,9.26576027786767
580,2021-08-02,8.22493964485802
581,2021-08-03,8.94058308274683
582,2021-08-04,9.21153353428354
583,2021-08-05,8.09486748699544
584,2021-08-06,8.92261581101153
585,2021-08-07,7.47616640245949
586,2021-08-08,7.56564606452475
587,2021-08-09,7.15310729627359
588,2021-08-10,8.01381180342015
589,2021-08-11,8.80672981579172
590,2021-08-12,9.44323834455396
591,2021-08-13,9.31064264002764
592,2021-08-14,8.85210429718474
593,2021-08-15,8.97067908191125
594,2021-08-16,8.69842485644727
595,2021-08-17,8.83378934860229
596,2021-08-18,9.07219475664133
597,2021-08-19,8.77616225317685
598,2021-08-20,9.22031138346425
599,2021-08-21,7.91558032637087
600,2021-08-22,7.75149476145864
601,2021-08-23,7.26974431314552
602,2021-08-24,6.89949344580792
603,2021-08-25,7.0184061263115
604,2021-08-26,5.81427222733595
605,2021-08-27,5.74969059802353
606,2021-08-28,6.56255607737049
607,2021-08-29,6.90511257968213
608,2021-08-30,6.32087696988798
609,2021-08-31,5.85995167511198
610,2021-09-01,6.39421567173115
611,2021-09-02,5.5158276995834
612,2021-09-03,3.83510225950455
613,2021-09-04,4.50219803110156
614,2021-09-05,6.33901099699927
615,2021-09-06,6.07910925584354
616,2021-09-07,6.40105553618673
617,2021-09-08,6.70210568550377
618,2021-09-09,5.77878630091776
619,2021-09-10,6.24105378837697
620,2021-09-11,5.32646836310017
621,2021-09-12,6.13108200443034
622,2021-09-13,5.5861464281819
623,2021-09-14,5.66319263433228
624,2021-09-15,5.86311064100127
625,2021-09-16,7.399390085098
626,2021-09-17,5.64975627309727
627,2021-09-18,5.87071807530462
628,2021-09-19,6.92620648760837
629,2021-09-20,5.54435780114405
630,2021-09-21,5.34206378008117
631,2021-09-22,4.97018170947584
632,2021-09-23,4.99086946405405
633,2021-09-24,4.95393950390051
634,2021-09-25,5.28130648730448
635,2021-09-26,6.0960017533066
636,2021-09-27,5.57718746429282
637,2021-09-28,5.27288244017359
638,2021-09-29,5.62150255080215
639,2021-09-30,4.98943440698674
640,2021-10-01,5.1321734735639
641,2021-10-02,4.39101910278331
642,2021-10-03,4.64428848688526
643,2021-10-04,4.07840276859245
644,2021-10-05,4.02403039079018
645,2021-10-06,4.03385852377199
646,2021-10-07,3.10038469180074
647,2021-10-08,3.60815911320834
648,2021-10-09,4.58852827844397
649,2021-10-10,4.99785706983016
650,2021-10-11,3.20101939432823
651,2021-10-12,3.57405086674079
652,2021-10-13,3.53063148590288
653,2021-10-14,4.94786821874863
654,2021-10-15,3.4240378755696
655,2021-10-16,4.62806926315797
656,2021-10-17,4.01394081741311
657,2021-10-18,4.14964212307777
658,2021-10-19,4.1871774766605
659,2021-10-20,3.2234037860837
660,2021-10-21,2.85302966563764
661,2021-10-22,1.91346975283442
662,2021-10-23,2.76405750627768
663,2021-10-24,2.14636071444199
664,2021-10-25,2.99894635322838
665,2021-10-26,2.9948778416603
666,2021-10-27,2.6909732502334
667,2021-10-28,1.42679332014249
668,2021-10-29,2.29063401786127
669,2021-10-30,2.10592995675243
670,2021-10-31,2.94296350718935
671,2021-11-01,3.36576790677563
672,2021-11-02,3.31757675176459
673,2021-11-03,2.2638066338902
674,2021-11-04,2.87173855617512
675,2021-11-05,3.1604939481086
676,2021-11-06,2.55444613455336
677,2021-11-07,2.00592813686449
678,2021-11-08,2.09601737154816
679,2021-11-09,2.18525893894994
680,2021-11-10,2.03450757816825
681,2021-11-11,2.87591640012605
682,2021-11-12,2.44678717399825
683,2021-11-13,1.98368156338572
684,2021-11-14,2.14693338334908
685,2021-11-15,1.35750007307912
686,2021-11-16,1.50032871579086
687,2021-11-17,2.15893185022321
688,2021-11-18,3.46836858727147
689,2021-11-19,2.32450065338229
690,2021-11-20,1.59653652150933
691,2021-11-21,2.24807769329485
692,2021-11-22,2.39507179401011
693,2021-11-23,2.19196261000703
694,2021-11-24,1.91089395322883
695,2021-11-25,2.27818359999372
696,2021-11-26,1.99882113629458
697,2021-11-27,1.57596297496957
698,2021-11-28,1.48034489915079
699,2021-11-29,1.76670903862392
700,2021-11-30,1.00119970777987
701,2021-12-01,1.19858484079114
702,2021-12-02,2.03648637091258
703,2021-12-03,1.54345758027017
704,2021-12-04,1.17411581524607
705,2021-12-05,2.02847346941514
706,2021-12-06,3.01009817460536
707,2021-12-07,1.48758184964125
708,2021-12-08,1.24716617975047
709,2021-12-09,1.38539679252893
710,2021-12-10,0.650577696442126
711,2021-12-11,0.915202769556737
712,2021-12-12,1.74931873017841
713,2021-12-13,0.764364285021885
714,2021-12-14,0.193533017773097
715,2021-12-15,-0.87307303306742
716,2021-12-16,1.48433629674653
717,2021-12-17,1.60987813549209
718,2021-12-18,1.64732915436735
719,2021-12-19,1.27037397991464
720,2021-12-20,1.26603812031426
721,2021-12-21,1.23607959035708
722,2021-12-22,1.1422873167131
723,2021-12-23,0.76555867289884
724,2021-12-24,-0.0538500730361845
725,2021-12-25,1.07478921139292
726,2021-12-26,1.07871188099548
727,2021-12-27,0.969653207854043
728,2021-12-28,1.06905561196821
729,2021-12-29,0.956863409945464
730,2021-12-30,0.958278790083727
731,2021-12-31,0.255337973114079
732,2022-01-01,1.18008760964558
733,2022-01-02,0.675257945167167
734,2022-01-03,0.389056778227796
735,2022-01-04,0.366293658476266
736,2022-01-05,1.13462572803303
737,2022-01-06,0.859222303543772
738,2022-01-07,0.616623978247274
739,2022-01-08,0.736604810847138
740,2022-01-09,0.709049198711318
741,2022-01-10,0.607418732190879
742,2022-01-11,0.559237682382758
743,2022-01-12,0.219173687827098
744,2022-01-13,0.278739941126131
745,2022-01-14,0.447077186968254
746,2022-01-15,0.773058892588834
747,2022-01-16,0.350692784402834
748,2022-01-17,0.203783964559775
749,2022-01-18,0.150231632550089
750,2022-01-19,0.765149125226559
751,2022-01-20,0.513009912212197
752,2022-01-21,0.284444168883406
753,2022-01-22,0.634000874882016
754,2022-01-23,0.441861289637516
755,2022-01-24,0.611607724176204
756,2022-01-25,0.26749715758026
757,2022-01-26,0.290535422427574
758,2022-01-27,0.486181338179216
759,2022-01-28,0.341999191855985
760,2022-01-29,0.386128202498871
761,2022-01-30,0.237291569168525
762,2022-01-31,0.29872614169716
763,2022-02-01,0.29981064172659
764,2022-02-02,0.890197667084178
765,2022-02-03,0.572822448517856
766,2022-02-04,0.389082653203615
767,2022-02-05,0.512176603578444
768,2022-02-06,0.333086799770463
769,2022-02-07,0.398197156048594
770,2022-02-08,0.283284110413417
771,2022-02-09,0.366645334660464
772,2022-02-10,0.782219534430316
773,2022-02-11,0.692855247885597
774,2022-02-12,1.22715969335929
775,2022-02-13,0.689421938629088
776,2022-02-14,0.664056924228765
777,2022-02-15,0.604890232889454
778,2022-02-16,0.159529081746723
779,2022-02-17,1.17963972459642
780,2022-02-18,1.3856462822798
781,2022-02-19,1.49749315036977
782,2022-02-20,0.988797253361596
783,2022-02-21,0.628009158842877
784,2022-02-22,1.08634366058954
785,2022-02-23,1.5243964300385
786,2022-02-24,0.81287704062792
787,2022-02-25,0.809188920711289
788,2022-02-26,0.928837900650049
789,2022-02-27,0.508617711158431
790,2022-02-28,0.34046214741299
791,2022-03-01,0.399817809804666
792,2022-03-02,0.744624003281263
793,2022-03-03,1.55064312498962
794,2022-03-04,2.30592375763477
795,2022-03-05,0.704006559811022
796,2022-03-06,2.20711413896901
797,2022-03-07,1.92717244886622
798,2022-03-08,1.51063287262493
799,2022-03-09,2.09386887703276
800,2022-03-10,2.32451421439474
801,2022-03-11,2.58718745953488
802,2022-03-12,2.36662725986962
803,2022-03-13,1.96694176209651
804,2022-03-14,1.47954395076168
805,2022-03-15,1.95563272580453
806,2022-03-16,2.66722609106154
807,2022-03-17,2.36744723023035
808,2022-03-18,2.10302210751237
809,2022-03-19,2.8705997581515
